Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.11,3.13,3.09,3.13,2.009893,11659000
2010-01-05,3.16,3.16,3.08,3.12,2.003471,25150000
2010-01-06,3.11,3.14,3.09,3.1,1.990629,13382000
2010-01-07,3.1,3.11,3.01,3.03,1.94568,26989000
2010-01-08,3.04,3.05,3.01,3.05,1.958522,17903000
2010-01-11,3.06,3.06,3.02,3.02,1.939258,21861000
2010-01-12,3.02,3.03,2.97,2.97,1.907151,42581000
2010-01-13,2.96,2.98,2.95,2.97,1.907151,19207000
2010-01-14,2.98,3.06,2.98,3.02,1.939258,24858000
2010-01-15,3.04,3.05,3.01,3.01,1.932836,10979000
2010-01-18,3,3.03,3,3.02,1.939258,7172000
2010-01-19,3.02,3.03,2.98,2.99,1.919994,14535000
2010-01-20,3.01,3.02,2.99,3,1.926415,12833000
2010-01-21,2.99,3.03,2.99,3,1.926415,17576000
2010-01-22,2.97,3.05,2.97,3.01,1.932836,26676000
2010-01-25,3.01,3.08,3.01,3.08,1.977786,26572000
2010-01-26,3.06,3.07,3,3,1.926415,19296000
2010-01-27,3,3.01,2.96,2.96,1.90073,15814000
2010-01-28,2.97,3.01,2.97,2.99,1.919994,10330000
2010-01-29,2.98,3.01,2.95,3.01,1.932836,33066000
2010-02-01,3,3.03,2.98,3.01,1.932836,18460000
2010-02-02,3.02,3.03,2.96,2.97,1.907151,18593000
2010-02-03,2.98,3.01,2.96,2.99,1.919994,14511000
2010-02-04,2.97,2.99,2.97,2.98,1.913572,8486000
2010-02-05,2.95,2.96,2.9,2.9,1.862201,22378000
2010-02-08,2.9,2.96,2.9,2.95,1.894308,16708000
2010-02-09,2.97,3.04,2.96,3.03,1.94568,32183000
2010-02-10,3.04,3.06,3.02,3.05,1.958522,18459000
2010-02-11,3.06,3.07,3.05,3.07,1.971365,9714000
2010-02-12,3.06,3.06,3.02,3.02,1.939258,8158000
2010-02-17,3,3.02,2.98,3,1.926415,32541000
2010-02-18,3,3.04,3,3.04,1.952101,12579000
2010-02-19,3.04,3.04,2.99,3.01,1.932836,17166000
2010-02-22,3.04,3.06,3.02,3.02,1.939258,12295000
2010-02-23,3.02,3.05,3,3.05,1.958522,8931000
2010-02-24,3.02,3.04,3,3.04,1.952101,8740000
2010-02-25,3.04,3.04,3,3.01,1.932836,9077000
2010-02-26,3.02,3.05,3,3.05,1.958522,20529000
2010-03-01,3.05,3.06,3.04,3.06,1.964943,10479000
2010-03-02,3.07,3.07,3.04,3.06,1.964943,20079000
2010-03-03,3.06,3.09,3.05,3.08,1.977786,22978000
2010-03-04,3.09,3.09,3.05,3.05,1.958522,12963000
2010-03-05,3.07,3.09,3.06,3.07,1.971365,7712000
2010-03-08,3.1,3.12,3.09,3.12,2.003471,22877000
2010-03-09,3.13,3.15,3.12,3.15,2.022736,17053000
2010-03-10,3.15,3.18,3.15,3.18,2.042,19508000
2010-03-11,3.19,3.2,3.13,3.17,2.035579,19523000
2010-03-12,3.18,3.18,3.13,3.14,2.016315,13587000
2010-03-15,3.15,3.15,3.1,3.11,1.99705,8116000
2010-03-16,3.12,3.18,3.11,3.18,2.042,14166000
2010-03-17,3.19,3.2,3.17,3.2,2.054843,13965000
2010-03-18,3.18,3.21,3.16,3.2,2.054843,16159000
2010-03-19,3.21,3.25,3.19,3.25,2.086949,16026000
2010-03-22,3.23,3.24,3.17,3.17,2.035579,10733000
